reviewId,userName,content,score,at
dbb7952f-1dea-4dc2-b3e9-ede887109b88,Marjorie Gio,Unfair,1,2023-11-16 14:45:12
b862ad2b-8fea-4f62-b029-9c21d77be32b,Robert Gonzaga E,Love this game,5,2023-11-15 09:57:03
4ba5dee5-c8c6-4b51-8178-689e6ed4ac6e,Jian Rhed Madarang,Fix issue with verwise,1,2023-11-13 19:37:32
ce8ef683-bba9-44a9-a4b6-ba2035c580ce,Marlo Mangoda,bruh its awfull,1,2023-11-13 19:37:19
e9ab1f4c-702c-47be-b5c4-e71969592e0a,Omar Siddig Musa,Best of the world 😍,5,2023-11-13 08:08:57
2db8c80f-0da1-444e-bbd3-a87ecbec6a17,Miagarand Memea,Tis soo goood,5,2023-11-13 06:34:00
6a83bb8a-9afe-4ead-9708-8854a7667f10,scott tomo,Bobw laro,1,2023-11-13 06:16:38
396beeb8-0304-416f-8387-ebdd775eb7db,Tamba Nyumah,Love this picture,5,2023-11-11 18:13:15
558f448c-5eb2-4bdc-ba10-7cc21da2234a,Renes Gealon,Unfair merong favoritism ka montoon,1,2023-11-10 11:09:42
3b1a6d39-28ed-4e3b-9ad2-44dbba6ddba8,marjorie ann lapurga,Disappointed,1,2023-11-10 02:41:16
077b0c34-1d9c-49a7-836b-0499134ec1fd,Glenn Dave Dimzon,Hala baka tumaas 1 star moontoon hehe,1,2023-11-09 23:20:22
d7c1cbc8-3314-4d3c-9da1-6365d9ff77c9,Rocel Jane Tigas,Update ng update di naman nawawala yung lag and unfair matchmaking,1,2023-11-09 12:45:11
4ea56b04-e53c-4f16-a591-a061ce22c296,Ismail Hosen,This is very good application and so beautiful app its very amazing application,5,2023-11-09 11:54:47
6e98edde-5cfc-401b-9e85-892c57654b40,Kevin Carpio,For hating and not understanding blacklist international!,1,2023-11-09 05:00:10
9ced23a8-2c19-4c3e-9b68-4297fe4a5bbf,Jhean Helaria,This game was very good i can play even im in school because this game can play even no network connection and i can play with my boyfriend on it.,5,2023-11-09 04:55:21
b907266d-e9f6-4944-aeb8-665d30a40ee4,Ramcis Deduro,The matchmaking is worst than worst,1,2023-11-09 03:14:58
da2ce667-05e4-41df-a791-bff2bc12f38d,Joseph Marie Zamoras,New updates lagging issue/bugged and mostly matchmaking unfair allies on solo gaming toxic🤮👎,1,2023-11-08 04:29:17
b822f604-ac45-432a-be08-ba7309d067ad,U Kaylartha,good game,4,2023-11-07 18:29:04
daa50900-e8d8-4d46-8da1-ac704dabd10b,Justine Diolola,Too bug,1,2023-11-06 23:28:22
b08558db-5c5d-4b3c-a935-a8346e61223d,Benjie Abueva,"Everytime I open this app, it's always updating.",1,2023-11-05 12:29:53
cfb5ce1a-badc-41e4-9a93-1c20d52ff997,Raden Mikael,"This game is very good and I very love this game, I'm suggest this game to all people for this game, I'm very love this game thanks moonton. I'm love you moonton",5,2023-11-05 11:49:05
1dddb3e2-0b91-4e19-830d-627d57ed68fa,Sebi Seba,main screen character texts are off,4,2023-11-05 10:37:54
5f55ff14-7325-43eb-a7fa-44ae127cfbda,ivan salvador,Boring,1,2023-11-05 09:48:41
90a0d032-2015-4e89-bc47-1f40a72dd5fb,Ritche Baguinaon,Umay sayo moonton tangina moka,1,2023-11-05 08:59:59
813e5779-6140-47b7-9696-5e5d1eaef65a,Adrian Base,Listen to your players better Treat your pro teams better,1,2023-11-05 08:09:02
3fc103b0-5719-43ba-b540-53d1d3696255,Kimberly Castillo,👎👎👎👎👎,1,2023-11-05 06:12:27
5b65e5bd-dc03-4621-8814-6087ef581398,Andeng Abundia,May nag top up labg biglang nawala yung in game ko. Sura,1,2023-11-05 00:59:25
